,name,country,latitude,longitude,temperature,cloudiness,humidity,windspeed
0,eyl,SO,7.9803,49.8164,78.66,64.0,69.0,23.15
1,hobyo,SO,5.3505,48.5268,77.52,90.0,82.0,27.87
2,narsingi,IN,18.0333,78.4333,75.69,100.0,93.0,4.63
4,dikson,RU,73.5069,80.5464,33.94,100.0,99.0,14.58
5,tateyama,JP,34.9833,139.8667,74.07,75.0,87.0,2.1
6,seoul,KR,37.5683,126.9778,73.18,23.0,96.0,1.77
7,sukhumi,GE,43.0033,41.0153,71.17,0.0,85.0,6.11
9,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
10,kheda,IN,22.75,72.6833,80.89,100.0,81.0,4.41
11,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
12,trofors,NO,65.5333,13.4063,58.84,100.0,95.0,3.76
13,karaton,KZ,-6.3424,106.1045,75.45,85.0,95.0,3.0
14,basco,PH,20.4487,121.9702,83.88,89.0,80.0,12.35
16,derzhavinsk,KZ,51.1,66.3167,62.69,0.0,89.0,14.63
17,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
18,olenino,RU,56.2092,33.4889,67.98,1.0,87.0,5.46
19,khatanga,RU,71.9667,102.5,46.4,89.0,50.0,6.08
20,marfino,RU,55.7028,37.3822,72.28,0.0,53.0,4.47
22,russkaya polyana,RU,49.417,31.9201,72.18,18.0,70.0,3.42
23,aksu,KZ,41.1231,80.2644,78.46,86.0,36.0,10.0
24,nikolskoye,RU,59.7035,30.7861,71.49,0.0,81.0,5.37
25,payo,PH,-3.7508,103.6372,71.04,76.0,99.0,1.52
27,khanpur,PK,28.6453,70.6567,102.07,40.0,31.0,3.91
28,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
29,san policarpo,PH,12.1791,125.5072,81.07,100.0,84.0,8.37
30,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
32,nikolskoye,RU,59.7035,30.7861,71.49,0.0,81.0,5.37
33,tiksi,RU,71.6872,128.8694,38.37,3.0,65.0,3.2
34,tayshet,RU,55.9342,98.0044,53.04,2.0,92.0,2.19
35,cherskiy,RU,68.75,161.3,80.92,7.0,36.0,22.68
36,hambantota,LK,6.1241,81.1185,79.18,96.0,81.0,20.15
37,cherskiy,RU,68.75,161.3,80.92,7.0,36.0,22.68
38,longyearbyen,SJ,78.2186,15.6401,40.84,40.0,81.0,13.8
39,cherskiy,RU,68.75,161.3,80.92,7.0,36.0,22.68
40,turukhansk,RU,65.8167,87.9833,38.73,39.0,71.0,4.14
41,leningradskiy,RU,69.3833,178.4167,62.67,55.0,68.0,7.2
42,khatanga,RU,71.9667,102.5,46.4,89.0,50.0,6.08
43,wuwei,CN,37.9281,102.6414,68.07,8.0,42.0,6.26
44,udachnyy,RU,66.4167,112.4,45.41,80.0,86.0,6.78
45,melfi,TD,40.9965,15.6514,74.23,8.0,62.0,5.79
46,yar-sale,RU,66.8333,70.8333,41.74,67.0,68.0,8.23
47,hasaki,JP,35.7333,140.8333,70.21,55.0,88.0,6.69
48,luang prabang,LA,19.8856,102.1347,72.25,45.0,99.0,1.19
49,pappadatai,GR,39.3133,20.7925,72.43,1.0,68.0,4.34
50,suluova,TR,40.8313,35.6479,69.66,0.0,78.0,13.8
51,hambantota,LK,6.1241,81.1185,79.18,96.0,81.0,20.15
52,trincomalee,LK,8.5711,81.2335,80.49,100.0,79.0,21.43
54,svetlyy,RU,54.675,20.1347,64.45,0.0,93.0,6.8
55,tiksi,RU,71.6872,128.8694,38.37,3.0,65.0,3.2
56,ossora,RU,59.2353,163.0719,63.23,75.0,60.0,2.62
57,moissala,TD,8.3404,17.7663,72.23,81.0,85.0,2.01
58,omsukchan,RU,62.5333,155.8,53.74,92.0,82.0,11.03
59,corlu,TR,41.1592,27.8,71.58,0.0,78.0,12.66
61,vostok,RU,46.4856,135.8833,65.77,99.0,89.0,1.95
62,abeche,TD,13.8292,20.8324,89.4,91.0,41.0,18.14
63,longyearbyen,SJ,78.2186,15.6401,40.84,40.0,81.0,13.8
64,mashhad,IR,36.297,59.6062,75.34,0.0,46.0,6.91
65,belaya gora,RU,68.5333,146.4167,44.24,100.0,91.0,22.82
66,darovskoy,RU,58.77,47.9564,54.79,8.0,75.0,4.16
67,chor,PK,25.5167,69.7667,85.57,100.0,71.0,15.9
68,jalu,LY,29.0331,21.5482,85.32,0.0,45.0,14.88
69,katsuura,JP,35.1333,140.3,73.98,53.0,89.0,3.58
70,gat,LY,31.61,34.7642,76.24,0.0,100.0,2.64
71,jiaozuo,CN,35.2397,113.2331,75.67,2.0,91.0,5.06
73,fuxin,CN,42.0156,121.6589,71.08,71.0,92.0,4.79
74,kizema,RU,61.113,44.8302,60.48,17.0,69.0,4.07
75,jiaozuo,CN,35.2397,113.2331,75.67,2.0,91.0,5.06
76,talnakh,RU,69.4865,88.3972,45.88,100.0,86.0,9.19
77,bela pod bezdezem,CZ,50.5012,14.8042,62.28,100.0,97.0,4.9
78,airai,PW,-8.9266,125.4092,55.24,99.0,54.0,4.07
79,deputatskiy,RU,69.3,139.9,38.59,100.0,86.0,7.07
81,umm lajj,SA,25.0213,37.2685,87.1,7.0,53.0,6.62
82,taseyevo,RU,57.2169,94.8978,54.79,56.0,89.0,2.37
83,hasaki,JP,35.7333,140.8333,70.21,55.0,88.0,6.69
84,aden,YE,12.7794,45.0367,86.16,89.0,72.0,10.16
85,dhidhdhoo,MV,6.8833,73.1,81.45,100.0,81.0,19.37
86,faya,TD,18.3851,42.4509,70.32,94.0,50.0,2.13
88,biak,ID,-0.9131,122.8766,74.35,99.0,89.0,5.28
89,zverinogolovskoye,RU,54.4586,64.8542,56.14,100.0,96.0,20.49
90,ust-nera,RU,64.5667,143.2,56.95,100.0,81.0,11.41
91,udachnyy,RU,66.4167,112.4,45.41,80.0,86.0,6.78
93,lat yao,TH,15.751,99.7893,76.69,21.0,94.0,6.02
95,faya,TD,18.3851,42.4509,70.32,94.0,50.0,2.13
96,koslan,RU,63.4564,48.8989,56.77,69.0,92.0,4.85
97,tiksi,RU,71.6872,128.8694,38.37,3.0,65.0,3.2
98,almaznyy,RU,48.0448,40.045,68.14,14.0,73.0,8.41
100,faya,TD,18.3851,42.4509,70.32,94.0,50.0,2.13
101,evensk,RU,61.95,159.2333,51.66,100.0,94.0,6.2
102,solginskiy,RU,61.05,41.3428,64.38,84.0,73.0,4.97
104,sobolevo,RU,54.4299,31.8996,73.04,85.0,68.0,4.32
105,nikolskoye,RU,59.7035,30.7861,71.49,0.0,81.0,5.37
107,taksimo,RU,56.3444,114.8794,56.37,99.0,97.0,1.68
108,teguldet,RU,57.3064,88.1667,54.64,97.0,96.0,4.03
110,taksimo,RU,56.3444,114.8794,56.37,99.0,97.0,1.68
111,hasaki,JP,35.7333,140.8333,70.21,55.0,88.0,6.69
112,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
113,dicabisagan,PH,17.0818,122.4157,79.32,100.0,87.0,0.74
114,xintai,CN,35.9006,117.7519,77.54,100.0,87.0,10.94
115,bytow,PL,54.1706,17.4919,57.63,67.0,85.0,6.11
116,linjiang,CN,41.8069,126.9078,65.61,34.0,99.0,1.59
118,sur,OM,22.5667,59.5289,89.02,54.0,62.0,5.93
119,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
120,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
121,bosaso,SO,11.2842,49.1816,92.55,26.0,37.0,24.81
122,alekseyevka,RU,50.6309,38.6903,68.32,72.0,89.0,6.6
123,kaduqli,SD,11.0167,29.7167,70.93,94.0,93.0,3.74
124,kungurtug,RU,50.5994,97.5228,51.94,95.0,94.0,2.59
125,pevek,RU,69.7008,170.3133,54.52,28.0,73.0,16.15
126,krasnoselkup,RU,65.7,82.4667,45.54,55.0,61.0,7.85
127,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
128,khatanga,RU,71.9667,102.5,46.4,89.0,50.0,6.08
129,nevinnomyssk,RU,44.6267,41.9453,71.11,0.0,65.0,2.82
130,guozhen,CN,34.3659,107.359,76.01,41.0,69.0,3.15
131,hobyo,SO,5.3505,48.5268,77.52,90.0,82.0,27.87
132,juegang,CN,32.3174,121.1855,79.21,100.0,89.0,7.49
133,turan,RU,16.0678,108.2208,80.58,20.0,89.0,0.0
135,rochegda,RU,62.8,43.25,64.26,88.0,79.0,3.85
137,palu,ID,-0.8917,119.8707,74.39,100.0,92.0,2.89
138,zaozerne,UA,45.1582,33.2787,76.95,3.0,68.0,10.18
139,pitelino,RU,54.5777,41.8145,63.7,0.0,69.0,7.09
140,tigil,RU,57.8,158.6667,59.34,89.0,90.0,3.58
142,grieskirchen,AT,48.2333,13.8333,57.74,11.0,92.0,0.76
143,nikolskoye,RU,59.7035,30.7861,71.49,0.0,81.0,5.37
144,turukhansk,RU,65.8167,87.9833,38.73,39.0,71.0,4.14
145,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
146,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
147,beringovskiy,RU,63.05,179.3167,60.01,77.0,63.0,3.11
148,kerchevskiy,RU,59.946,56.2884,48.02,11.0,75.0,5.35
150,altay,CN,47.8667,88.1167,63.36,100.0,57.0,3.74
151,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
152,astana,KZ,51.1801,71.446,60.75,0.0,72.0,6.71
153,zharkent,KZ,44.1628,80.0,63.21,18.0,84.0,5.79
154,yushu,CN,44.8,126.5333,69.57,81.0,94.0,5.55
155,erenhot,CN,43.6475,111.9767,77.68,92.0,54.0,8.75
156,saskylakh,RU,71.9167,114.0833,43.92,42.0,50.0,12.8
157,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
158,ostrovnoy,RU,68.0531,39.5131,43.41,50.0,78.0,6.17
159,yazykovo,RU,55.2199,56.1353,54.72,39.0,84.0,9.15
160,tiksi,RU,71.6872,128.8694,38.37,3.0,65.0,3.2
161,faya,TD,18.3851,42.4509,70.32,94.0,50.0,2.13
162,sayyan,YE,15.1718,44.3244,66.56,68.0,50.0,3.29
163,vanino,RU,49.0869,140.2543,66.83,26.0,91.0,1.79
164,orlik,RU,52.5178,99.825,53.31,98.0,90.0,2.44
165,doha,KW,25.2867,51.5333,94.98,0.0,43.0,3.44
166,severo-kurilsk,RU,50.6789,156.125,53.11,100.0,92.0,7.09
167,carbonia,IT,39.1672,8.5222,77.65,0.0,50.0,3.31
168,turukhansk,RU,65.8167,87.9833,38.73,39.0,71.0,4.14
169,badarpur,IN,24.9,92.6,78.44,98.0,92.0,2.28
170,dubrovnik,HR,42.6481,18.0922,74.84,0.0,88.0,2.3
171,rosetta,EG,31.4044,30.4164,77.99,0.0,77.0,10.29
172,bafq,IR,31.6128,55.4107,95.79,1.0,10.0,4.34
173,dudinka,RU,69.4058,86.1778,43.81,100.0,89.0,12.91
175,longyearbyen,SJ,78.2186,15.6401,40.84,40.0,81.0,13.8
176,namie,JP,37.4833,141.0,71.02,8.0,98.0,4.21
177,mahibadhoo,MV,3.7833,72.9667,82.24,100.0,78.0,13.22
178,nikolskoye,RU,59.7035,30.7861,71.49,0.0,81.0,5.37
180,korla,CN,41.7597,86.1469,78.67,99.0,34.0,15.52
181,pemangkat,ID,1.1667,108.9667,78.96,100.0,81.0,2.62
182,faya,TD,18.3851,42.4509,70.32,94.0,50.0,2.13
183,faya,TD,18.3851,42.4509,70.32,94.0,50.0,2.13
184,pevek,RU,69.7008,170.3133,54.52,28.0,73.0,16.15
185,kapit,MY,2.0167,112.9333,72.82,92.0,100.0,0.94
186,lorengau,PG,-2.0226,147.2712,81.46,99.0,80.0,7.54
187,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
188,vardo,NO,70.3705,31.1107,48.18,0.0,81.0,8.05
189,ardahan,TR,41.1087,42.7022,53.37,100.0,93.0,1.81
192,severo-kurilsk,RU,50.6789,156.125,53.11,100.0,92.0,7.09
193,xining,CN,36.6167,101.7667,52.36,2.0,73.0,3.15
194,san severino marche,IT,43.2281,13.1802,73.89,4.0,44.0,6.46
195,katsuura,JP,35.1333,140.3,73.98,53.0,89.0,3.58
196,airai,PW,-8.9266,125.4092,55.24,99.0,54.0,4.07
197,machida,JP,35.5403,139.4508,71.98,96.0,88.0,2.21
198,tilichiki,RU,60.4667,166.1,62.8,17.0,48.0,2.55
199,severo-kurilsk,RU,50.6789,156.125,53.11,100.0,92.0,7.09
200,kavieng,PG,-2.5744,150.7967,81.66,84.0,78.0,13.78
201,cherskiy,RU,68.75,161.3,80.92,7.0,36.0,22.68
203,beyneu,KZ,45.3167,55.2,82.94,39.0,40.0,12.55
204,panjab,AF,34.388,67.0233,58.01,2.0,43.0,5.46
205,mehamn,NO,71.0357,27.8492,48.11,6.0,82.0,11.05
206,buraydah,SA,26.326,43.975,95.16,67.0,9.0,9.71
207,srednekolymsk,RU,67.45,153.6833,77.13,1.0,38.0,23.94
208,vilyuysk,RU,63.7553,121.6247,57.25,100.0,79.0,3.98
209,nishihara,JP,26.1842,127.7558,81.1,75.0,89.0,0.0
210,shiraz,IR,29.6036,52.5388,85.44,0.0,16.0,4.61
211,taybad,IR,34.74,60.7756,79.57,0.0,28.0,15.03
213,yar-sale,RU,66.8333,70.8333,41.74,67.0,68.0,8.23
214,beisfjord,NO,68.3751,17.5988,66.78,100.0,83.0,0.72
215,rach gia,VN,10.0167,105.0833,76.95,97.0,82.0,3.06
216,bratsk,RU,56.1325,101.6142,52.29,7.0,83.0,2.08
217,sakakah,SA,29.9697,40.2064,94.14,3.0,15.0,12.73
218,gedo,ET,9.0167,37.45,49.5,89.0,95.0,2.35
219,gornoye loo,RU,43.7129,39.6049,73.31,0.0,86.0,4.47
220,dezhou,CN,37.4486,116.2925,76.57,95.0,93.0,11.12
221,cherskiy,RU,68.75,161.3,80.92,7.0,36.0,22.68
222,tura,RU,25.5198,90.2201,76.78,97.0,78.0,2.48
223,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
224,kavieng,PG,-2.5744,150.7967,81.66,84.0,78.0,13.78
225,leningradskiy,RU,69.3833,178.4167,62.67,55.0,68.0,7.2
228,kaeng khoi,TH,14.5862,100.9976,81.16,46.0,94.0,3.13
229,dikson,RU,73.5069,80.5464,33.94,100.0,99.0,14.58
231,bamnet narong,TH,15.4992,101.6897,81.72,27.0,93.0,1.05
232,snezhnogorsk,RU,69.1933,33.2531,55.18,83.0,76.0,4.7
233,felanitx,ES,39.4696,3.1483,77.94,4.0,75.0,4.52
234,male,MV,4.1748,73.5089,81.63,100.0,80.0,14.83
235,tilichiki,RU,60.4667,166.1,62.8,17.0,48.0,2.55
236,cherskiy,RU,68.75,161.3,80.92,7.0,36.0,22.68
237,sittingbourne,GB,51.3413,0.7328,60.26,100.0,89.0,4.05
239,mehamn,NO,71.0357,27.8492,48.11,6.0,82.0,11.05
241,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
242,leningradskiy,RU,69.3833,178.4167,62.67,55.0,68.0,7.2
243,cherskiy,RU,68.75,161.3,80.92,7.0,36.0,22.68
244,leningradskiy,RU,69.3833,178.4167,62.67,55.0,68.0,7.2
245,port blair,IN,11.6667,92.75,81.3,100.0,83.0,14.27
247,khatanga,RU,71.9667,102.5,46.4,89.0,50.0,6.08
248,tezu,IN,27.9167,96.1667,76.44,86.0,78.0,2.48
249,saskylakh,RU,71.9167,114.0833,43.92,42.0,50.0,12.8
251,kudahuvadhoo,MV,2.6708,72.8944,81.43,100.0,79.0,11.12
252,saskylakh,RU,71.9167,114.0833,43.92,42.0,50.0,12.8
253,hovd,MN,48.0056,91.6419,64.08,100.0,47.0,8.12
254,berlevag,NO,70.8578,29.0864,48.15,0.0,87.0,14.97
255,raudeberg,NO,61.9875,5.1352,58.93,19.0,83.0,17.92
256,marsa matruh,EG,31.3525,27.2453,77.99,0.0,69.0,3.06
257,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
258,jalu,LY,29.0331,21.5482,85.32,0.0,45.0,14.88
259,kumluca,TR,36.3703,30.2869,84.42,18.0,56.0,0.85
260,ostroleka,PL,53.0862,21.5757,68.94,30.0,92.0,6.91
261,severo-kurilsk,RU,50.6789,156.125,53.11,100.0,92.0,7.09
262,airai,PW,-8.9266,125.4092,55.24,99.0,54.0,4.07
263,kuldur,RU,49.2167,131.6333,67.89,68.0,97.0,0.83
264,cabra,PH,37.4725,-4.4421,90.63,31.0,32.0,5.99
265,tiksi,RU,71.6872,128.8694,38.37,3.0,65.0,3.2
266,polunochnoye,RU,60.8697,60.4153,47.12,56.0,73.0,3.49
268,dikson,RU,73.5069,80.5464,33.94,100.0,99.0,14.58
269,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
270,vardo,NO,70.3705,31.1107,48.18,0.0,81.0,8.05
271,kuala terengganu,MY,5.3302,103.1408,76.28,100.0,92.0,5.32
272,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,55.99,40.0,82.0,6.71
273,chara,RU,56.9064,118.2631,54.63,100.0,97.0,2.13
274,balad,IQ,34.0164,44.1453,97.74,0.0,15.0,14.7
275,bumba,CD,2.1833,22.4667,70.29,97.0,97.0,2.24
276,manika,PH,11.388,122.2793,75.6,38.0,92.0,0.58
277,abnub,EG,27.2696,31.1511,88.75,58.0,22.0,6.67
278,bandarbeyla,SO,9.4942,50.8122,77.04,9.0,80.0,28.77
279,zomba,HU,-15.386,35.3188,58.46,1.0,80.0,2.66
280,raudeberg,NO,61.9875,5.1352,58.93,19.0,83.0,17.92
281,naze,JP,28.3667,129.4833,78.01,100.0,85.0,6.29
282,pavlogradka,RU,54.2024,73.5592,66.02,86.0,51.0,7.0
283,auch,FR,43.65,0.5833,72.64,74.0,78.0,5.5
285,little baguio,PH,7.8939,125.2764,64.06,95.0,97.0,1.01
286,dwarka,IN,22.2394,68.9678,83.82,100.0,78.0,15.41
288,butaritari,KI,3.0707,172.7902,82.36,99.0,75.0,12.06
289,khatanga,RU,71.9667,102.5,46.4,89.0,50.0,6.08
290,pevek,RU,69.7008,170.3133,54.52,28.0,73.0,16.15
292,umm lajj,SA,25.0213,37.2685,87.1,7.0,53.0,6.62
294,abu samrah,QA,35.3029,37.1841,78.89,0.0,53.0,8.63
295,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
296,chokurdakh,RU,70.6333,147.9167,39.94,100.0,88.0,15.52
297,klyuchi,RU,52.2667,79.1667,67.41,97.0,61.0,3.6
298,kyenjojo,UG,0.6328,30.6214,64.36,100.0,75.0,0.81
299,havoysund,NO,70.9963,24.6622,59.88,5.0,80.0,15.17
300,chuy,UY,-33.6971,-53.4616,49.28,0.0,63.0,4.99
301,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
302,arequipa,PE,-16.3989,-71.535,66.09,33.0,24.0,7.99
303,sao jose da coroa grande,BR,-8.8978,-35.1478,75.47,8.0,83.0,8.75
304,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
305,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
306,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
307,lebu,CL,-37.6167,-73.65,50.61,3.0,71.0,14.97
308,jamestown,SH,42.097,-79.2353,66.81,90.0,97.0,5.01
309,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
310,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
311,atuona,PF,-9.8,-139.0333,77.31,50.0,80.0,25.7
312,lebu,CL,-37.6167,-73.65,50.61,3.0,71.0,14.97
313,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
314,chuy,UY,-33.6971,-53.4616,49.28,0.0,63.0,4.99
315,chuy,UY,-33.6971,-53.4616,49.28,0.0,63.0,4.99
316,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
